请求大小	分配大小	小块内存碎片率	页内存内部碎片率	分配页个数
1	8	87.50%	0.00%	1
2	8	75.00%	0.00%	1
3	8	62.50%	0.00%	1
4	8	50.00%	0.00%	1
5	8	37.50%	0.00%	1
6	8	25.00%	0.00%	1
7	8	12.50%	0.00%	1
8	8	0.00%	0.00%	1
9	16	43.75%	0.00%	1
10	16	37.50%	0.00%	1
11	16	31.25%	0.00%	1
12	16	25.00%	0.00%	1
13	16	18.75%	0.00%	1
14	16	12.50%	0.00%	1
15	16	6.25%	0.00%	1
16	16	0.00%	0.00%	1
17	24	29.17%	0.00%	3
18	24	25.00%	0.00%	3
19	24	20.83%	0.00%	3
20	24	16.67%	0.00%	3
21	24	12.50%	0.00%	3
22	24	8.33%	0.00%	3
23	24	4.17%	0.00%	3
24	24	0.00%	0.00%	3
25	32	21.88%	0.00%	1
26	32	18.75%	0.00%	1
27	32	15.62%	0.00%	1
28	32	12.50%	0.00%	1
29	32	9.38%	0.00%	1
30	32	6.25%	0.00%	1
31	32	3.12%	0.00%	1
32	32	0.00%	0.00%	1
33	40	17.50%	0.00%	5
34	40	15.00%	0.00%	5
35	40	12.50%	0.00%	5
36	40	10.00%	0.00%	5
37	40	7.50%	0.00%	5
38	40	5.00%	0.00%	5
39	40	2.50%	0.00%	5
40	40	0.00%	0.00%	5
41	48	14.58%	0.00%	3
42	48	12.50%	0.00%	3
43	48	10.42%	0.00%	3
44	48	8.33%	0.00%	3
45	48	6.25%	0.00%	3
46	48	4.17%	0.00%	3
47	48	2.08%	0.00%	3
48	48	0.00%	0.00%	3
49	56	12.50%	0.00%	7
50	56	10.71%	0.00%	7
51	56	8.93%	0.00%	7
52	56	7.14%	0.00%	7
53	56	5.36%	0.00%	7
54	56	3.57%	0.00%	7
55	56	1.79%	0.00%	7
56	56	0.00%	0.00%	7
57	64	10.94%	0.00%	1
58	64	9.38%	0.00%	1
59	64	7.81%	0.00%	1
60	64	6.25%	0.00%	1
61	64	4.69%	0.00%	1
62	64	3.12%	0.00%	1
63	64	1.56%	0.00%	1
64	64	0.00%	0.00%	1
65	72	9.72%	0.00%	9
66	72	8.33%	0.00%	9
67	72	6.94%	0.00%	9
68	72	5.56%	0.00%	9
69	72	4.17%	0.00%	9
70	72	2.78%	0.00%	9
71	72	1.39%	0.00%	9
72	72	0.00%	0.00%	9
73	80	8.75%	0.00%	5
74	80	7.50%	0.00%	5
75	80	6.25%	0.00%	5
76	80	5.00%	0.00%	5
77	80	3.75%	0.00%	5
78	80	2.50%	0.00%	5
79	80	1.25%	0.00%	5
80	80	0.00%	0.00%	5
81	88	7.95%	0.00%	11
82	88	6.82%	0.00%	11
83	88	5.68%	0.00%	11
84	88	4.55%	0.00%	11
85	88	3.41%	0.00%	11
86	88	2.27%	0.00%	11
87	88	1.14%	0.00%	11
88	88	0.00%	0.00%	11
89	96	7.29%	0.00%	3
90	96	6.25%	0.00%	3
91	96	5.21%	0.00%	3
92	96	4.17%	0.00%	3
93	96	3.12%	0.00%	3
94	96	2.08%	0.00%	3
95	96	1.04%	0.00%	3
96	96	0.00%	0.00%	3
97	104	6.73%	0.00%	13
98	104	5.77%	0.00%	13
99	104	4.81%	0.00%	13
100	104	3.85%	0.00%	13
101	104	2.88%	0.00%	13
102	104	1.92%	0.00%	13
103	104	0.96%	0.00%	13
104	104	0.00%	0.00%	13
105	112	6.25%	0.00%	7
106	112	5.36%	0.00%	7
107	112	4.46%	0.00%	7
108	112	3.57%	0.00%	7
109	112	2.68%	0.00%	7
110	112	1.79%	0.00%	7
111	112	0.89%	0.00%	7
112	112	0.00%	0.00%	7
113	120	5.83%	0.00%	15
114	120	5.00%	0.00%	15
115	120	4.17%	0.00%	15
116	120	3.33%	0.00%	15
117	120	2.50%	0.00%	15
118	120	1.67%	0.00%	15
119	120	0.83%	0.00%	15
120	120	0.00%	0.00%	15
121	128	5.47%	0.00%	1
122	128	4.69%	0.00%	1
123	128	3.91%	0.00%	1
124	128	3.12%	0.00%	1
125	128	2.34%	0.00%	1
126	128	1.56%	0.00%	1
127	128	0.78%	0.00%	1
128	128	0.00%	0.00%	1
129	144	10.42%	0.00%	9
130	144	9.72%	0.00%	9
131	144	9.03%	0.00%	9
132	144	8.33%	0.00%	9
133	144	7.64%	0.00%	9
134	144	6.94%	0.00%	9
135	144	6.25%	0.00%	9
136	144	5.56%	0.00%	9
137	144	4.86%	0.00%	9
138	144	4.17%	0.00%	9
139	144	3.47%	0.00%	9
140	144	2.78%	0.00%	9
141	144	2.08%	0.00%	9
142	144	1.39%	0.00%	9
143	144	0.69%	0.00%	9
144	144	0.00%	0.00%	9
145	160	9.38%	0.00%	5
146	160	8.75%	0.00%	5
147	160	8.12%	0.00%	5
148	160	7.50%	0.00%	5
149	160	6.88%	0.00%	5
150	160	6.25%	0.00%	5
151	160	5.62%	0.00%	5
152	160	5.00%	0.00%	5
153	160	4.38%	0.00%	5
154	160	3.75%	0.00%	5
155	160	3.12%	0.00%	5
156	160	2.50%	0.00%	5
157	160	1.88%	0.00%	5
158	160	1.25%	0.00%	5
159	160	0.62%	0.00%	5
160	160	0.00%	0.00%	5
161	176	8.52%	0.00%	11
162	176	7.95%	0.00%	11
163	176	7.39%	0.00%	11
164	176	6.82%	0.00%	11
165	176	6.25%	0.00%	11
166	176	5.68%	0.00%	11
167	176	5.11%	0.00%	11
168	176	4.55%	0.00%	11
169	176	3.98%	0.00%	11
170	176	3.41%	0.00%	11
171	176	2.84%	0.00%	11
172	176	2.27%	0.00%	11
173	176	1.70%	0.00%	11
174	176	1.14%	0.00%	11
175	176	0.57%	0.00%	11
176	176	0.00%	0.00%	11
177	192	7.81%	0.00%	3
178	192	7.29%	0.00%	3
179	192	6.77%	0.00%	3
180	192	6.25%	0.00%	3
181	192	5.73%	0.00%	3
182	192	5.21%	0.00%	3
183	192	4.69%	0.00%	3
184	192	4.17%	0.00%	3
185	192	3.65%	0.00%	3
186	192	3.12%	0.00%	3
187	192	2.60%	0.00%	3
188	192	2.08%	0.00%	3
189	192	1.56%	0.00%	3
190	192	1.04%	0.00%	3
191	192	0.52%	0.00%	3
192	192	0.00%	0.00%	3
193	208	7.21%	0.00%	13
194	208	6.73%	0.00%	13
195	208	6.25%	0.00%	13
196	208	5.77%	0.00%	13
197	208	5.29%	0.00%	13
198	208	4.81%	0.00%	13
199	208	4.33%	0.00%	13
200	208	3.85%	0.00%	13
201	208	3.37%	0.00%	13
202	208	2.88%	0.00%	13
203	208	2.40%	0.00%	13
204	208	1.92%	0.00%	13
205	208	1.44%	0.00%	13
206	208	0.96%	0.00%	13
207	208	0.48%	0.00%	13
208	208	0.00%	0.00%	13
209	224	6.70%	0.00%	7
210	224	6.25%	0.00%	7
211	224	5.80%	0.00%	7
212	224	5.36%	0.00%	7
213	224	4.91%	0.00%	7
214	224	4.46%	0.00%	7
215	224	4.02%	0.00%	7
216	224	3.57%	0.00%	7
217	224	3.12%	0.00%	7
218	224	2.68%	0.00%	7
219	224	2.23%	0.00%	7
220	224	1.79%	0.00%	7
221	224	1.34%	0.00%	7
222	224	0.89%	0.00%	7
223	224	0.45%	0.00%	7
224	224	0.00%	0.00%	7
225	240	6.25%	0.00%	15
226	240	5.83%	0.00%	15
227	240	5.42%	0.00%	15
228	240	5.00%	0.00%	15
229	240	4.58%	0.00%	15
230	240	4.17%	0.00%	15
231	240	3.75%	0.00%	15
232	240	3.33%	0.00%	15
233	240	2.92%	0.00%	15
234	240	2.50%	0.00%	15
235	240	2.08%	0.00%	15
236	240	1.67%	0.00%	15
237	240	1.25%	0.00%	15
238	240	0.83%	0.00%	15
239	240	0.42%	0.00%	15
240	240	0.00%	0.00%	15
241	256	5.86%	0.00%	1
242	256	5.47%	0.00%	1
243	256	5.08%	0.00%	1
244	256	4.69%	0.00%	1
245	256	4.30%	0.00%	1
246	256	3.91%	0.00%	1
247	256	3.52%	0.00%	1
248	256	3.12%	0.00%	1
249	256	2.73%	0.00%	1
250	256	2.34%	0.00%	1
251	256	1.95%	0.00%	1
252	256	1.56%	0.00%	1
253	256	1.17%	0.00%	1
254	256	0.78%	0.00%	1
255	256	0.39%	0.00%	1
256	256	0.00%	0.00%	1
257	288	10.76%	0.00%	9
258	288	10.42%	0.00%	9
259	288	10.07%	0.00%	9
260	288	9.72%	0.00%	9
261	288	9.38%	0.00%	9
262	288	9.03%	0.00%	9
263	288	8.68%	0.00%	9
264	288	8.33%	0.00%	9
265	288	7.99%	0.00%	9
266	288	7.64%	0.00%	9
267	288	7.29%	0.00%	9
268	288	6.94%	0.00%	9
269	288	6.60%	0.00%	9
270	288	6.25%	0.00%	9
271	288	5.90%	0.00%	9
272	288	5.56%	0.00%	9
273	288	5.21%	0.00%	9
274	288	4.86%	0.00%	9
275	288	4.51%	0.00%	9
276	288	4.17%	0.00%	9
277	288	3.82%	0.00%	9
278	288	3.47%	0.00%	9
279	288	3.12%	0.00%	9
280	288	2.78%	0.00%	9
281	288	2.43%	0.00%	9
282	288	2.08%	0.00%	9
283	288	1.74%	0.00%	9
284	288	1.39%	0.00%	9
285	288	1.04%	0.00%	9
286	288	0.69%	0.00%	9
287	288	0.35%	0.00%	9
288	288	0.00%	0.00%	9
289	320	9.69%	0.00%	5
290	320	9.38%	0.00%	5
291	320	9.06%	0.00%	5
292	320	8.75%	0.00%	5
293	320	8.44%	0.00%	5
294	320	8.12%	0.00%	5
295	320	7.81%	0.00%	5
296	320	7.50%	0.00%	5
297	320	7.19%	0.00%	5
298	320	6.88%	0.00%	5
299	320	6.56%	0.00%	5
300	320	6.25%	0.00%	5
301	320	5.94%	0.00%	5
302	320	5.62%	0.00%	5
303	320	5.31%	0.00%	5
304	320	5.00%	0.00%	5
305	320	4.69%	0.00%	5
306	320	4.38%	0.00%	5
307	320	4.06%	0.00%	5
308	320	3.75%	0.00%	5
309	320	3.44%	0.00%	5
310	320	3.12%	0.00%	5
311	320	2.81%	0.00%	5
312	320	2.50%	0.00%	5
313	320	2.19%	0.00%	5
314	320	1.88%	0.00%	5
315	320	1.56%	0.00%	5
316	320	1.25%	0.00%	5
317	320	0.94%	0.00%	5
318	320	0.62%	0.00%	5
319	320	0.31%	0.00%	5
320	320	0.00%	0.00%	5
321	352	8.81%	0.00%	11
322	352	8.52%	0.00%	11
323	352	8.24%	0.00%	11
324	352	7.95%	0.00%	11
325	352	7.67%	0.00%	11
326	352	7.39%	0.00%	11
327	352	7.10%	0.00%	11
328	352	6.82%	0.00%	11
329	352	6.53%	0.00%	11
330	352	6.25%	0.00%	11
331	352	5.97%	0.00%	11
332	352	5.68%	0.00%	11
333	352	5.40%	0.00%	11
334	352	5.11%	0.00%	11
335	352	4.83%	0.00%	11
336	352	4.55%	0.00%	11
337	352	4.26%	0.00%	11
338	352	3.98%	0.00%	11
339	352	3.69%	0.00%	11
340	352	3.41%	0.00%	11
341	352	3.12%	0.00%	11
342	352	2.84%	0.00%	11
343	352	2.56%	0.00%	11
344	352	2.27%	0.00%	11
345	352	1.99%	0.00%	11
346	352	1.70%	0.00%	11
347	352	1.42%	0.00%	11
348	352	1.14%	0.00%	11
349	352	0.85%	0.00%	11
350	352	0.57%	0.00%	11
351	352	0.28%	0.00%	11
352	352	0.00%	0.00%	11
353	384	8.07%	0.00%	3
354	384	7.81%	0.00%	3
355	384	7.55%	0.00%	3
356	384	7.29%	0.00%	3
357	384	7.03%	0.00%	3
358	384	6.77%	0.00%	3
359	384	6.51%	0.00%	3
360	384	6.25%	0.00%	3
361	384	5.99%	0.00%	3
362	384	5.73%	0.00%	3
363	384	5.47%	0.00%	3
364	384	5.21%	0.00%	3
365	384	4.95%	0.00%	3
366	384	4.69%	0.00%	3
367	384	4.43%	0.00%	3
368	384	4.17%	0.00%	3
369	384	3.91%	0.00%	3
370	384	3.65%	0.00%	3
371	384	3.39%	0.00%	3
372	384	3.12%	0.00%	3
373	384	2.86%	0.00%	3
374	384	2.60%	0.00%	3
375	384	2.34%	0.00%	3
376	384	2.08%	0.00%	3
377	384	1.82%	0.00%	3
378	384	1.56%	0.00%	3
379	384	1.30%	0.00%	3
380	384	1.04%	0.00%	3
381	384	0.78%	0.00%	3
382	384	0.52%	0.00%	3
383	384	0.26%	0.00%	3
384	384	0.00%	0.00%	3
385	416	7.45%	0.00%	13
386	416	7.21%	0.00%	13
387	416	6.97%	0.00%	13
388	416	6.73%	0.00%	13
389	416	6.49%	0.00%	13
390	416	6.25%	0.00%	13
391	416	6.01%	0.00%	13
392	416	5.77%	0.00%	13
393	416	5.53%	0.00%	13
394	416	5.29%	0.00%	13
395	416	5.05%	0.00%	13
396	416	4.81%	0.00%	13
397	416	4.57%	0.00%	13
398	416	4.33%	0.00%	13
399	416	4.09%	0.00%	13
400	416	3.85%	0.00%	13
401	416	3.61%	0.00%	13
402	416	3.37%	0.00%	13
403	416	3.12%	0.00%	13
404	416	2.88%	0.00%	13
405	416	2.64%	0.00%	13
406	416	2.40%	0.00%	13
407	416	2.16%	0.00%	13
408	416	1.92%	0.00%	13
409	416	1.68%	0.00%	13
410	416	1.44%	0.00%	13
411	416	1.20%	0.00%	13
412	416	0.96%	0.00%	13
413	416	0.72%	0.00%	13
414	416	0.48%	0.00%	13
415	416	0.24%	0.00%	13
416	416	0.00%	0.00%	13
417	448	6.92%	0.00%	7
418	448	6.70%	0.00%	7
419	448	6.47%	0.00%	7
420	448	6.25%	0.00%	7
421	448	6.03%	0.00%	7
422	448	5.80%	0.00%	7
423	448	5.58%	0.00%	7
424	448	5.36%	0.00%	7
425	448	5.13%	0.00%	7
426	448	4.91%	0.00%	7
427	448	4.69%	0.00%	7
428	448	4.46%	0.00%	7
429	448	4.24%	0.00%	7
430	448	4.02%	0.00%	7
431	448	3.79%	0.00%	7
432	448	3.57%	0.00%	7
433	448	3.35%	0.00%	7
434	448	3.12%	0.00%	7
435	448	2.90%	0.00%	7
436	448	2.68%	0.00%	7
437	448	2.46%	0.00%	7
438	448	2.23%	0.00%	7
439	448	2.01%	0.00%	7
440	448	1.79%	0.00%	7
441	448	1.56%	0.00%	7
442	448	1.34%	0.00%	7
443	448	1.12%	0.00%	7
444	448	0.89%	0.00%	7
445	448	0.67%	0.00%	7
446	448	0.45%	0.00%	7
447	448	0.22%	0.00%	7
448	448	0.00%	0.00%	7
449	480	6.46%	0.00%	15
450	480	6.25%	0.00%	15
451	480	6.04%	0.00%	15
452	480	5.83%	0.00%	15
453	480	5.62%	0.00%	15
454	480	5.42%	0.00%	15
455	480	5.21%	0.00%	15
456	480	5.00%	0.00%	15
457	480	4.79%	0.00%	15
458	480	4.58%	0.00%	15
459	480	4.38%	0.00%	15
460	480	4.17%	0.00%	15
461	480	3.96%	0.00%	15
462	480	3.75%	0.00%	15
463	480	3.54%	0.00%	15
464	480	3.33%	0.00%	15
465	480	3.12%	0.00%	15
466	480	2.92%	0.00%	15
467	480	2.71%	0.00%	15
468	480	2.50%	0.00%	15
469	480	2.29%	0.00%	15
470	480	2.08%	0.00%	15
471	480	1.88%	0.00%	15
472	480	1.67%	0.00%	15
473	480	1.46%	0.00%	15
474	480	1.25%	0.00%	15
475	480	1.04%	0.00%	15
476	480	0.83%	0.00%	15
477	480	0.62%	0.00%	15
478	480	0.42%	0.00%	15
479	480	0.21%	0.00%	15
480	480	0.00%	0.00%	15
481	512	6.05%	0.00%	1
482	512	5.86%	0.00%	1
483	512	5.66%	0.00%	1
484	512	5.47%	0.00%	1
485	512	5.27%	0.00%	1
486	512	5.08%	0.00%	1
487	512	4.88%	0.00%	1
488	512	4.69%	0.00%	1
489	512	4.49%	0.00%	1
490	512	4.30%	0.00%	1
491	512	4.10%	0.00%	1
492	512	3.91%	0.00%	1
493	512	3.71%	0.00%	1
494	512	3.52%	0.00%	1
495	512	3.32%	0.00%	1
496	512	3.12%	0.00%	1
497	512	2.93%	0.00%	1
498	512	2.73%	0.00%	1
499	512	2.54%	0.00%	1
500	512	2.34%	0.00%	1
501	512	2.15%	0.00%	1
502	512	1.95%	0.00%	1
503	512	1.76%	0.00%	1
504	512	1.56%	0.00%	1
505	512	1.37%	0.00%	1
506	512	1.17%	0.00%	1
507	512	0.98%	0.00%	1
508	512	0.78%	0.00%	1
509	512	0.59%	0.00%	1
510	512	0.39%	0.00%	1
511	512	0.20%	0.00%	1
512	512	0.00%	0.00%	1
513	576	10.94%	0.00%	9
514	576	10.76%	0.00%	9
515	576	10.59%	0.00%	9
516	576	10.42%	0.00%	9
517	576	10.24%	0.00%	9
518	576	10.07%	0.00%	9
519	576	9.90%	0.00%	9
520	576	9.72%	0.00%	9
521	576	9.55%	0.00%	9
522	576	9.38%	0.00%	9
523	576	9.20%	0.00%	9
524	576	9.03%	0.00%	9
525	576	8.85%	0.00%	9
526	576	8.68%	0.00%	9
527	576	8.51%	0.00%	9
528	576	8.33%	0.00%	9
529	576	8.16%	0.00%	9
530	576	7.99%	0.00%	9
531	576	7.81%	0.00%	9
532	576	7.64%	0.00%	9
533	576	7.47%	0.00%	9
534	576	7.29%	0.00%	9
535	576	7.12%	0.00%	9
536	576	6.94%	0.00%	9
537	576	6.77%	0.00%	9
538	576	6.60%	0.00%	9
539	576	6.42%	0.00%	9
540	576	6.25%	0.00%	9
541	576	6.08%	0.00%	9
542	576	5.90%	0.00%	9
543	576	5.73%	0.00%	9
544	576	5.56%	0.00%	9
545	576	5.38%	0.00%	9
546	576	5.21%	0.00%	9
547	576	5.03%	0.00%	9
548	576	4.86%	0.00%	9
549	576	4.69%	0.00%	9
550	576	4.51%	0.00%	9
551	576	4.34%	0.00%	9
552	576	4.17%	0.00%	9
553	576	3.99%	0.00%	9
554	576	3.82%	0.00%	9
555	576	3.65%	0.00%	9
556	576	3.47%	0.00%	9
557	576	3.30%	0.00%	9
558	576	3.12%	0.00%	9
559	576	2.95%	0.00%	9
560	576	2.78%	0.00%	9
561	576	2.60%	0.00%	9
562	576	2.43%	0.00%	9
563	576	2.26%	0.00%	9
564	576	2.08%	0.00%	9
565	576	1.91%	0.00%	9
566	576	1.74%	0.00%	9
567	576	1.56%	0.00%	9
568	576	1.39%	0.00%	9
569	576	1.22%	0.00%	9
570	576	1.04%	0.00%	9
571	576	0.87%	0.00%	9
572	576	0.69%	0.00%	9
573	576	0.52%	0.00%	9
574	576	0.35%	0.00%	9
575	576	0.17%	0.00%	9
576	576	0.00%	0.00%	9
577	640	9.84%	0.00%	5
578	640	9.69%	0.00%	5
579	640	9.53%	0.00%	5
580	640	9.38%	0.00%	5
581	640	9.22%	0.00%	5
582	640	9.06%	0.00%	5
583	640	8.91%	0.00%	5
584	640	8.75%	0.00%	5
585	640	8.59%	0.00%	5
586	640	8.44%	0.00%	5
587	640	8.28%	0.00%	5
588	640	8.12%	0.00%	5
589	640	7.97%	0.00%	5
590	640	7.81%	0.00%	5
591	640	7.66%	0.00%	5
592	640	7.50%	0.00%	5
593	640	7.34%	0.00%	5
594	640	7.19%	0.00%	5
595	640	7.03%	0.00%	5
596	640	6.88%	0.00%	5
597	640	6.72%	0.00%	5
598	640	6.56%	0.00%	5
599	640	6.41%	0.00%	5
600	640	6.25%	0.00%	5
601	640	6.09%	0.00%	5
602	640	5.94%	0.00%	5
603	640	5.78%	0.00%	5
604	640	5.62%	0.00%	5
605	640	5.47%	0.00%	5
606	640	5.31%	0.00%	5
607	640	5.16%	0.00%	5
608	640	5.00%	0.00%	5
609	640	4.84%	0.00%	5
610	640	4.69%	0.00%	5
611	640	4.53%	0.00%	5
612	640	4.38%	0.00%	5
613	640	4.22%	0.00%	5
614	640	4.06%	0.00%	5
615	640	3.91%	0.00%	5
616	640	3.75%	0.00%	5
617	640	3.59%	0.00%	5
618	640	3.44%	0.00%	5
619	640	3.28%	0.00%	5
620	640	3.12%	0.00%	5
621	640	2.97%	0.00%	5
622	640	2.81%	0.00%	5
623	640	2.66%	0.00%	5
624	640	2.50%	0.00%	5
625	640	2.34%	0.00%	5
626	640	2.19%	0.00%	5
627	640	2.03%	0.00%	5
628	640	1.88%	0.00%	5
629	640	1.72%	0.00%	5
630	640	1.56%	0.00%	5
631	640	1.41%	0.00%	5
632	640	1.25%	0.00%	5
633	640	1.09%	0.00%	5
634	640	0.94%	0.00%	5
635	640	0.78%	0.00%	5
636	640	0.62%	0.00%	5
637	640	0.47%	0.00%	5
638	640	0.31%	0.00%	5
639	640	0.16%	0.00%	5
640	640	0.00%	0.00%	5
641	704	8.95%	0.00%	11
642	704	8.81%	0.00%	11
643	704	8.66%	0.00%	11
644	704	8.52%	0.00%	11
645	704	8.38%	0.00%	11
646	704	8.24%	0.00%	11
647	704	8.10%	0.00%	11
648	704	7.95%	0.00%	11
649	704	7.81%	0.00%	11
650	704	7.67%	0.00%	11
651	704	7.53%	0.00%	11
652	704	7.39%	0.00%	11
653	704	7.24%	0.00%	11
654	704	7.10%	0.00%	11
655	704	6.96%	0.00%	11
656	704	6.82%	0.00%	11
657	704	6.68%	0.00%	11
658	704	6.53%	0.00%	11
659	704	6.39%	0.00%	11
660	704	6.25%	0.00%	11
661	704	6.11%	0.00%	11
662	704	5.97%	0.00%	11
663	704	5.82%	0.00%	11
664	704	5.68%	0.00%	11
665	704	5.54%	0.00%	11
666	704	5.40%	0.00%	11
667	704	5.26%	0.00%	11
668	704	5.11%	0.00%	11
669	704	4.97%	0.00%	11
670	704	4.83%	0.00%	11
671	704	4.69%	0.00%	11
672	704	4.55%	0.00%	11
673	704	4.40%	0.00%	11
674	704	4.26%	0.00%	11
675	704	4.12%	0.00%	11
676	704	3.98%	0.00%	11
677	704	3.84%	0.00%	11
678	704	3.69%	0.00%	11
679	704	3.55%	0.00%	11
680	704	3.41%	0.00%	11
681	704	3.27%	0.00%	11
682	704	3.12%	0.00%	11
683	704	2.98%	0.00%	11
684	704	2.84%	0.00%	11
685	704	2.70%	0.00%	11
686	704	2.56%	0.00%	11
687	704	2.41%	0.00%	11
688	704	2.27%	0.00%	11
689	704	2.13%	0.00%	11
690	704	1.99%	0.00%	11
691	704	1.85%	0.00%	11
692	704	1.70%	0.00%	11
693	704	1.56%	0.00%	11
694	704	1.42%	0.00%	11
695	704	1.28%	0.00%	11
696	704	1.14%	0.00%	11
697	704	0.99%	0.00%	11
698	704	0.85%	0.00%	11
699	704	0.71%	0.00%	11
700	704	0.57%	0.00%	11
701	704	0.43%	0.00%	11
702	704	0.28%	0.00%	11
703	704	0.14%	0.00%	11
704	704	0.00%	0.00%	11
705	768	8.20%	0.00%	3
706	768	8.07%	0.00%	3
707	768	7.94%	0.00%	3
708	768	7.81%	0.00%	3
709	768	7.68%	0.00%	3
710	768	7.55%	0.00%	3
711	768	7.42%	0.00%	3
712	768	7.29%	0.00%	3
713	768	7.16%	0.00%	3
714	768	7.03%	0.00%	3
715	768	6.90%	0.00%	3
716	768	6.77%	0.00%	3
717	768	6.64%	0.00%	3
718	768	6.51%	0.00%	3
719	768	6.38%	0.00%	3
720	768	6.25%	0.00%	3
721	768	6.12%	0.00%	3
722	768	5.99%	0.00%	3
723	768	5.86%	0.00%	3
724	768	5.73%	0.00%	3
725	768	5.60%	0.00%	3
726	768	5.47%	0.00%	3
727	768	5.34%	0.00%	3
728	768	5.21%	0.00%	3
729	768	5.08%	0.00%	3
730	768	4.95%	0.00%	3
731	768	4.82%	0.00%	3
732	768	4.69%	0.00%	3
733	768	4.56%	0.00%	3
734	768	4.43%	0.00%	3
735	768	4.30%	0.00%	3
736	768	4.17%	0.00%	3
737	768	4.04%	0.00%	3
738	768	3.91%	0.00%	3
739	768	3.78%	0.00%	3
740	768	3.65%	0.00%	3
741	768	3.52%	0.00%	3
742	768	3.39%	0.00%	3
743	768	3.26%	0.00%	3
744	768	3.12%	0.00%	3
745	768	2.99%	0.00%	3
746	768	2.86%	0.00%	3
747	768	2.73%	0.00%	3
748	768	2.60%	0.00%	3
749	768	2.47%	0.00%	3
750	768	2.34%	0.00%	3
751	768	2.21%	0.00%	3
752	768	2.08%	0.00%	3
753	768	1.95%	0.00%	3
754	768	1.82%	0.00%	3
755	768	1.69%	0.00%	3
756	768	1.56%	0.00%	3
757	768	1.43%	0.00%	3
758	768	1.30%	0.00%	3
759	768	1.17%	0.00%	3
760	768	1.04%	0.00%	3
761	768	0.91%	0.00%	3
762	768	0.78%	0.00%	3
763	768	0.65%	0.00%	3
764	768	0.52%	0.00%	3
765	768	0.39%	0.00%	3
766	768	0.26%	0.00%	3
767	768	0.13%	0.00%	3
768	768	0.00%	0.00%	3
769	832	7.57%	0.00%	13
770	832	7.45%	0.00%	13
771	832	7.33%	0.00%	13
772	832	7.21%	0.00%	13
773	832	7.09%	0.00%	13
774	832	6.97%	0.00%	13
775	832	6.85%	0.00%	13
776	832	6.73%	0.00%	13
777	832	6.61%	0.00%	13
778	832	6.49%	0.00%	13
779	832	6.37%	0.00%	13
780	832	6.25%	0.00%	13
781	832	6.13%	0.00%	13
782	832	6.01%	0.00%	13
783	832	5.89%	0.00%	13
784	832	5.77%	0.00%	13
785	832	5.65%	0.00%	13
786	832	5.53%	0.00%	13
787	832	5.41%	0.00%	13
788	832	5.29%	0.00%	13
789	832	5.17%	0.00%	13
790	832	5.05%	0.00%	13
791	832	4.93%	0.00%	13
792	832	4.81%	0.00%	13
793	832	4.69%	0.00%	13
794	832	4.57%	0.00%	13
795	832	4.45%	0.00%	13
796	832	4.33%	0.00%	13
797	832	4.21%	0.00%	13
798	832	4.09%	0.00%	13
799	832	3.97%	0.00%	13
800	832	3.85%	0.00%	13
801	832	3.73%	0.00%	13
802	832	3.61%	0.00%	13
803	832	3.49%	0.00%	13
804	832	3.37%	0.00%	13
805	832	3.25%	0.00%	13
806	832	3.12%	0.00%	13
807	832	3.00%	0.00%	13
808	832	2.88%	0.00%	13
809	832	2.76%	0.00%	13
810	832	2.64%	0.00%	13
811	832	2.52%	0.00%	13
812	832	2.40%	0.00%	13
813	832	2.28%	0.00%	13
814	832	2.16%	0.00%	13
815	832	2.04%	0.00%	13
816	832	1.92%	0.00%	13
817	832	1.80%	0.00%	13
818	832	1.68%	0.00%	13
819	832	1.56%	0.00%	13
820	832	1.44%	0.00%	13
821	832	1.32%	0.00%	13
822	832	1.20%	0.00%	13
823	832	1.08%	0.00%	13
824	832	0.96%	0.00%	13
825	832	0.84%	0.00%	13
826	832	0.72%	0.00%	13
827	832	0.60%	0.00%	13
828	832	0.48%	0.00%	13
829	832	0.36%	0.00%	13
830	832	0.24%	0.00%	13
831	832	0.12%	0.00%	13
832	832	0.00%	0.00%	13
833	896	7.03%	0.00%	7
834	896	6.92%	0.00%	7
835	896	6.81%	0.00%	7
836	896	6.70%	0.00%	7
837	896	6.58%	0.00%	7
838	896	6.47%	0.00%	7
839	896	6.36%	0.00%	7
840	896	6.25%	0.00%	7
841	896	6.14%	0.00%	7
842	896	6.03%	0.00%	7
843	896	5.92%	0.00%	7
844	896	5.80%	0.00%	7
845	896	5.69%	0.00%	7
846	896	5.58%	0.00%	7
847	896	5.47%	0.00%	7
848	896	5.36%	0.00%	7
849	896	5.25%	0.00%	7
850	896	5.13%	0.00%	7
851	896	5.02%	0.00%	7
852	896	4.91%	0.00%	7
853	896	4.80%	0.00%	7
854	896	4.69%	0.00%	7
855	896	4.58%	0.00%	7
856	896	4.46%	0.00%	7
857	896	4.35%	0.00%	7
858	896	4.24%	0.00%	7
859	896	4.13%	0.00%	7
860	896	4.02%	0.00%	7
861	896	3.91%	0.00%	7
862	896	3.79%	0.00%	7
863	896	3.68%	0.00%	7
864	896	3.57%	0.00%	7
865	896	3.46%	0.00%	7
866	896	3.35%	0.00%	7
867	896	3.24%	0.00%	7
868	896	3.12%	0.00%	7
869	896	3.01%	0.00%	7
870	896	2.90%	0.00%	7
871	896	2.79%	0.00%	7
872	896	2.68%	0.00%	7
